repo, precision, recall, full_recall, f1, full_f1, ppcr, support, full_support, Rules Number, Average Rule Len
evergreen.git, 0.903, 0.903, 0.874, 0.903, 0.888, 0.968, 33830, 34956, 270, 7.9
node.git, 0.963, 0.963, 0.931, 0.963, 0.947, 0.966, 188087, 194628, 666, 12.8
webpack.git, 0.944, 0.944, 0.934, 0.944, 0.939, 0.990, 148828, 150329, 929, 11.5
meteor.git, 0.965, 0.965, 0.799, 0.965, 0.874, 0.828, 127507, 154051, 123, 14.8
react.git, 0.954, 0.954, 0.909, 0.954, 0.931, 0.953, 118458, 124254, 148, 10.8
react-native.git, 0.954, 0.954, 0.890, 0.954, 0.921, 0.933, 89880, 96307, 219, 11.1
jquery.git, 0.963, 0.963, 0.915, 0.963, 0.938, 0.950, 44338, 46651, 51, 10.9
citgm.git, 0.945, 0.945, 0.912, 0.945, 0.928, 0.965, 4993, 5174, 83, 7.3
axios.git, 0.990, 0.990, 0.902, 0.990, 0.944, 0.911, 8267, 9070, 21, 7.8
create-react-app.git, 0.956, 0.956, 0.788, 0.956, 0.864, 0.824, 753, 914, 19, 6.9
reveal.js.git, 0.924, 0.924, 0.793, 0.924, 0.854, 0.859, 6331, 7374, 18, 7.4
carlo.git, 0.951, 0.951, 0.727, 0.951, 0.824, 0.765, 2950, 3858, 18, 8.3
telescope.git, 0.968, 0.968, 0.762, 0.968, 0.852, 0.787, 713, 906, 12, 5.9
storybook.git, 0.939, 0.939, 0.899, 0.939, 0.918, 0.957, 18336, 19151, 53, 7.8
redux.git, 0.898, 0.898, 0.887, 0.898, 0.893, 0.988, 5288, 5352, 167, 7.4
