repo, support, full_support
newsfeed.git, 3587, 7338
zeo.git, 537523, 643604
piecewise.git, 15706, 20679
blog.git, 336, 2261
objc.git, 4976, 12315
listenserverc-.git, 3892, 10949
open-decision.git, 2242, 7362
ducalibrator.git, 8811, 12559
soundslike.git, 389, 5639
pi-list.git, 111669, 136594
tournament-organiser.git, 26304, 33516
demo.git, 45148, 66335
sdkdemoapp_windows.git, 115084, 154169
open-tamil.git, 455869, 525228
openbroadcast.org.git, 497834, 640670
oeplatform.git, 252061, 279349
itc-7.git, 213378, 278701
tomorelayer.git, 8456, 15217
hakuneko.git, 225283, 248269
inclucivics.git, 396, 4723
pnucafeteriamenunotifier.git, 193, 922
qlf.git, 51818, 68457
zecwallet.git, 19467, 28488
opentrons.git, 579004, 609139
tv-news-viewer.git, 14568, 20469
realm-js.git, 71921, 100075
afm-client.git, 13602, 21644
node-irsdk.git, 4192, 7935
lime.git, 2908, 5841
pmmt-py.git, 5922, 7196
perspective.git, 259927, 276897
code_for_fun.git, 63537, 72437
missingdata_backend.git, 303298, 359956
kidprojects.git, 47052, 67072
sigmapi-web.git, 159610, 197618
vandyhacks-linter-backend.git, 28145, 31668
tick42-give-a-shit.git, 1377, 2908
blockdeliveryeos.git, 2862, 6245
mirobot-arduino.git, 14057, 18081
rov-gui.git, 2596, 6145
experimental.git, 9834, 16603
hydra.git, 37334, 53991
homeautomation.git, 163, 1121
amphora.git, 131392, 157927
