repo, support, full_support
kmera.git, 803, 2718
small-useful-and-fun-codes.git, 2015, 7166
ipytracer.git, 1240, 3129
weatherstation-project.git, 1154, 4198
code-examples.git, 738, 2697
skinnefy.git, 221, 5853
savia2html.git, 405239, 405239
leetcode-javascript.git, 13989, 17323
algorithm.git, 2657, 5534
afm-client.git, 13602, 21644
fb_backend.git, 13312, 20898
escape_trumps_america.git, 15240, 17186
ghosttext.git, 852, 2684
interactive-tabletop-projected-old.git, 9981, 12631
personalcalculatorapp.git, 109, 1630
passivedatakit-django.git, 23517, 28572
