repo, precision, recall, full_recall, f1, full_f1, ppcr, support, full_support, Rules Number, Average Rule Len
dragonfly.git, 0.904, 0.904, 0.826, 0.904, 0.863, 0.914, 4407, 4824, 21, 6.8
diyprojects.git, 0.950, 0.950, 0.908, 0.950, 0.929, 0.956, 4394, 4598, 14, 6.3
arrow_war.git, 0.940, 0.940, 0.881, 0.940, 0.909, 0.937, 1430, 1526, 87, 7.5
contrihub-18.git, 0.895, 0.895, 0.839, 0.895, 0.866, 0.937, 3588, 3828, 108, 8.3
asr-web-based-restaurant.git, 0.938, 0.938, 0.744, 0.938, 0.830, 0.793, 1688, 2128, 7, 6.1
django-search-movies.git, 0.865, 0.865, 0.744, 0.865, 0.800, 0.860, 3115, 3623, 18, 8.0
csd2c.git, 0.992, 0.992, 0.277, 0.992, 0.433, 0.279, 2167, 7765, 1, 3.0
diy-biller.git, 0.895, 0.895, 0.760, 0.895, 0.822, 0.849, 1801, 2121, 6, 4.7
qasimulator_serverside.git, 0.944, 0.944, 0.902, 0.944, 0.923, 0.956, 4793, 5014, 83, 7.7
wordcloudapi.git, 0.914, 0.914, 0.665, 0.914, 0.770, 0.727, 963, 1324, 3, 8.0
dilp2019.git, 0.954, 0.954, 0.804, 0.954, 0.873, 0.842, 1868, 2218, 9, 4.9
leetcode-javascript.git, 0.934, 0.934, 0.903, 0.934, 0.919, 0.966, 4758, 4923, 105, 6.5
source-engine-model-loader.git, 0.941, 0.941, 0.812, 0.941, 0.872, 0.863, 1817, 2106, 8, 4.1
esfera.git, 0.905, 0.905, 0.648, 0.905, 0.755, 0.716, 1629, 2276, 3, 3.0
emailgrabberr.git, 0.934, 0.934, 0.807, 0.934, 0.866, 0.864, 2051, 2373, 10, 5.9
