repo, precision, recall, full_recall, f1, full_f1, ppcr, support, full_support, Rules Number, Average Rule Len
practice.git, 0.878, 0.878, 0.727, 0.878, 0.796, 0.828, 3807, 4598, 28, 7.9
veritaswrestlingsystems.git, 0.949, 0.949, 0.809, 0.949, 0.874, 0.852, 20781, 24385, 37, 9.8
tu-blog.git, 0.940, 0.940, 0.781, 0.940, 0.853, 0.831, 5416, 6517, 21, 8.9
prueba-gece.git, 0.977, 0.977, 0.908, 0.977, 0.941, 0.929, 28745, 30938, 24, 8.0
consciouscommuter.git, 0.937, 0.937, 0.525, 0.937, 0.673, 0.561, 617, 1100, 4, 4.0
c324taideng.git, 0.969, 0.969, 0.934, 0.969, 0.951, 0.963, 18941, 19661, 26, 7.8
brickpop.git, 0.832, 0.832, 0.628, 0.832, 0.716, 0.755, 280, 371, 3, 5.7
django-react-ecommerce.git, 0.932, 0.932, 0.645, 0.932, 0.762, 0.692, 1595, 2305, 8, 7.5
tweetdeckplayer.git, 0.900, 0.900, 0.845, 0.900, 0.872, 0.939, 3785, 4032, 82, 6.4
couas.git, 0.872, 0.872, 0.790, 0.872, 0.829, 0.907, 476, 525, 34, 6.0
docker_website.git, 0.968, 0.968, 0.718, 0.968, 0.824, 0.742, 621, 837, 8, 6.0
blog.git, 0.912, 0.912, 0.832, 0.912, 0.870, 0.912, 114, 125, 9, 4.8
