repo, precision, recall, full_recall, f1, full_f1, ppcr, support, full_support, Rules Number, Average Rule Len
tech-interview-handbook.git, 0.613, 0.613, 0.396, 0.613, 0.481, 0.646, 1441, 2229, 9, 3.3
apachecn-algo-zh.git, 0.357, 0.357, 0.021, 0.357, 0.040, 0.059, 14, 238, 4, 2.5
apachecn-algo-zh.git, 0.357, 0.357, 0.021, 0.357, 0.040, 0.059, 14, 238, 4, 2.5
apachecn-algo-zh.git, 0.357, 0.357, 0.021, 0.357, 0.040, 0.059, 14, 238, 4, 2.5
node-serialport.git, 0.944, 0.944, 0.838, 0.944, 0.888, 0.888, 4204, 4734, 14, 5.2
realm-js.git, 0.962, 0.962, 0.854, 0.962, 0.905, 0.888, 21478, 24178, 20, 8.0
perspective.git, 0.957, 0.957, 0.943, 0.957, 0.950, 0.986, 60723, 61572, 204, 11.2
perspective.git, 0.957, 0.957, 0.943, 0.957, 0.950, 0.986, 60723, 61572, 204, 11.2
ghosttext.git, 0.913, 0.913, 0.445, 0.913, 0.598, 0.487, 750, 1540, 2, 3.0
face-recognition.js.git, 0.934, 0.934, 0.796, 0.934, 0.860, 0.853, 1580, 1852, 9, 4.8
lbry-desktop.git, 0.942, 0.942, 0.929, 0.942, 0.936, 0.986, 34499, 34972, 527, 10.7
node-rdkafka.git, 0.959, 0.959, 0.846, 0.959, 0.899, 0.882, 6110, 6925, 18, 7.9
pslab-desktop.git, 0.929, 0.929, 0.877, 0.929, 0.902, 0.944, 8903, 9427, 27, 7.9
pslab-desktop.git, 0.929, 0.929, 0.877, 0.929, 0.902, 0.944, 8903, 9427, 27, 7.9
pslab-desktop.git, 0.929, 0.929, 0.877, 0.929, 0.902, 0.944, 8903, 9427, 27, 7.9
aleph.git, 0.955, 0.955, 0.860, 0.955, 0.905, 0.901, 2540, 2820, 8, 4.9
holojs.git, 0.922, 0.922, 0.811, 0.922, 0.863, 0.880, 11642, 13236, 14, 5.7
node-hid.git, 0.973, 0.973, 0.427, 0.973, 0.593, 0.438, 412, 940, 4, 4.8
0bin.git, 0.912, 0.912, 0.878, 0.912, 0.895, 0.963, 6421, 6671, 26, 8.1
