repo, support, full_support
reveal.js, 12480, 14786
core-js, 307868, 310555
axios, 23833, 27353
redux, 36410, 39801
webpack, 360240, 379728
telescope, 558, 963
evergreen, 48264, 52167
freeCodeCamp, 117191, 121996
citgm, 23482, 23944
storybook, 178898, 191031
node, 951530, 975186
atom, 587912, 592840
30-seconds-of-code, 68712, 68712
carlo, 6368, 8068
react, 372929, 391550
jquery, 214814, 223413
react-native, 655203, 670464
create-react-app, 19621, 23107
express, 80311, 85931
meteor, 625901, 661605
