repo, precision
omnireader.git, 0.868
stoop.git, 0.807
openebench_scientific_visualizer.git, 0.940
donde_front_end.git, 0.947
compneurointro.git, 0.951
burd-archive.git, 0.921
connet.git, 0.927
plotdb.git, 0.945
advancedreact.git, 0.968
blogspot.git, 0.940
gatsby-ghost-blog.git, 0.940
pedwayapp.git, 0.882
angular-syca.git, 0.849
builderbookclone.git, 0.958
crypto_basket_fe.git, 0.940
devcontra-client.git, 0.838
langua.git, 0.930
hps-1.0.0.git, 0.900
esox-webstore.git, 0.947
stockmarketnews.git, 0.896
cs_cityscopejs.git, 0.837
daily-algorithms.git, 0.938
