repo, support, full_support
qgis-webappbuilder-plugin.git, 20454, 24840
forum-app-project2.git, 194, 7034
gatsby-starter-netlify-cms.git, 5665, 9083
arbre-de-lespoir.git, 1782, 3640
magicmirror.git, 34873, 52715
rona-v2.git, 463, 6966
grace-chopper.git, 6803, 12109
uop-backend.git, 5348, 7612
core.git, 3406, 6981
gitforteams.git, 17344, 37030
prizey-web.git, 25179, 32382
campsiter.git, 12818, 25349
wohindasleben.git, 5665, 9083
sudoslider.git, 18429, 21406
book-store.git, 480, 9641
whats-new-in-python3.git, 30632, 47209
react-video-recorder.git, 1140, 5700
serverless-wsgi.git, 16360, 20206
biggeo.git, 12146, 18769
2019fall_42class_team1.git, 35508, 44367
necsus.git, 1313, 3027
sharingweb-react.git, 13360, 19538
jirascope.git, 5874, 10950
map-state-to-props-lab-nyc-web-082619.git, 243, 1621
phantom-blue.git, 13692, 21312
wandex-front-end.git, 52779, 72501
arc-dao-stack.git, 59707, 71726
