repo, precision, recall, full_recall, f1, full_f1, ppcr, support, full_support, Rules Number, Average Rule Len
tomorelayer.git, 0.886, 0.886, 0.856, 0.886, 0.871, 0.965, 2322, 2405, 30, 4.8
coursework.git, 0.802, 0.802, 0.706, 0.802, 0.751, 0.880, 293, 333, 31, 4.0
test.git, 0.981, 0.981, 0.277, 0.981, 0.433, 0.283, 103, 364, 1, 1.0
guys-night-out-big2.git, 0.842, 0.842, 0.640, 0.842, 0.727, 0.760, 38, 50, 8, 5.0
freecome.git, 0.655, 0.655, 0.311, 0.655, 0.422, 0.475, 142, 299, 1, 3.0
celluloid.git, 0.966, 0.966, 0.940, 0.966, 0.953, 0.973, 177, 182, 26, 7.3
tt.git, 0.769, 0.769, 0.411, 0.769, 0.536, 0.534, 386, 723, 2, 2.5
herfio.git, 0.883, 0.883, 0.517, 0.883, 0.652, 0.586, 1560, 2662, 1, 1.0
capstoneproj_courseme.git, 0.836, 0.836, 0.696, 0.836, 0.760, 0.832, 1266, 1522, 9, 3.9
source-engine-model-loader.git, 0.941, 0.941, 0.812, 0.941, 0.872, 0.863, 1817, 2106, 8, 4.1
helloworld-sva-2018.git, 0.952, 0.952, 0.857, 0.952, 0.902, 0.900, 12899, 14333, 41, 8.6
how-to-store.git, 0.922, 0.922, 0.633, 0.922, 0.750, 0.686, 1091, 1590, 6, 4.5
jsspider.git, 0.977, 0.977, 0.901, 0.977, 0.938, 0.922, 12951, 14044, 25, 6.6
studies.git, 0.936, 0.936, 0.663, 0.936, 0.776, 0.708, 2936, 4146, 8, 5.0
knowtheflaggame.git, 0.719, 0.719, 0.719, 0.719, 0.719, 1.000, 302, 302, 5, 2.8
gaiawebql.git, 0.949, 0.949, 0.870, 0.949, 0.907, 0.917, 55441, 60458, 275, 10.4
kidprojects.git, 0.367, 0.367, 0.305, 0.367, 0.333, 0.833, 229, 275, 25, 8.1
dynosign.git, 0.894, 0.894, 0.746, 0.894, 0.814, 0.834, 2243, 2688, 8, 4.2
