repo, precision, recall, full_recall, f1, full_f1, ppcr, support, full_support, Rules Number, Average Rule Len
chatbots.git, 1.000, 1.000, 0.237, 1.000, 0.383, 0.237, 36, 152, 1, 1.0
c-counter.git, 0.905, 0.905, 0.524, 0.905, 0.664, 0.579, 84, 145, 2, 2.5
mac-torrents.git, 0.939, 0.939, 0.213, 0.939, 0.347, 0.227, 99, 437, 3, 2.7
tads.git, 0.879, 0.879, 0.596, 0.879, 0.710, 0.678, 527, 777, 4, 3.5
noticed.git, 0.929, 0.929, 0.888, 0.929, 0.908, 0.956, 8203, 8583, 68, 6.2
soundcloud-uploadr.git, 0.905, 0.905, 0.517, 0.905, 0.658, 0.571, 306, 536, 4, 8.0
avimehenwal.in.git, 0.774, 0.774, 0.528, 0.774, 0.628, 0.682, 3496, 5123, 17, 6.8
coding-challenge-solutions.git, 0.931, 0.931, 0.881, 0.931, 0.906, 0.947, 2728, 2882, 72, 6.7
native-app.git, 0.946, 0.946, 0.700, 0.946, 0.805, 0.740, 2945, 3982, 12, 8.5
oim-cms.git, 0.861, 0.861, 0.577, 0.861, 0.691, 0.670, 668, 997, 15, 4.9
hackoctoberfest.git, 0.909, 0.909, 0.815, 0.909, 0.859, 0.896, 1059, 1182, 19, 9.3
