repo, precision
autocomplete-plus.git, 0.994
vue-h5-template.git, 0.710
reactor.js.git, 0.996
clockpicker.git, 0.657
instafeed.js.git, 0.880
flexslider.git, 0.728
react-query-devtools.git, 0.766
babybuddy.git, 0.928
anon.git, 0.665
kbone.git, 0.950
chai-as-promised.git, 0.975
three.js.git, 0.964
ts-node.git, 0.846
glow-sans.git, 0.906
create-snowpack-app.git, 0.815
webrtc-book-cn.git, 0.931
karma-coverage.git, 0.920
pose-animator.git, 0.920
redaxios.git, 1.000
nocturn.git, 0.928
masteringnode.git, 0.817
