repo, precision, recall, full_recall, f1, full_f1, ppcr, support, full_support, Rules Number, Average Rule Len
takana.git, 0.922, 0.922, 0.788, 0.922, 0.850, 0.855, 2500, 2923, 5, 4.4
fraidycat.git, 0.838, 0.838, 0.748, 0.838, 0.790, 0.893, 745, 834, 75, 7.3
apachecn-algo-zh.git, 0.391, 0.391, 0.077, 0.391, 0.129, 0.197, 133, 675, 4, 3.8
parinfer.git, 0.936, 0.936, 0.822, 0.936, 0.875, 0.879, 4622, 5259, 13, 5.7
uvu.git, 0.968, 0.968, 0.938, 0.968, 0.953, 0.970, 5443, 5614, 17, 7.1
prettier-eslint.git, 0.764, 0.764, 0.529, 0.764, 0.625, 0.692, 1150, 1663, 7, 4.0
cursedchrome.git, 0.901, 0.901, 0.727, 0.901, 0.805, 0.807, 2033, 2518, 11, 5.4
api.git, 0.934, 0.934, 0.933, 0.934, 0.933, 0.999, 15055, 15065, 237, 8.9
ackee.git, 0.966, 0.966, 0.911, 0.966, 0.938, 0.943, 12734, 13504, 24, 8.2
wordpress-editor-ios.git, 0.963, 0.963, 0.902, 0.963, 0.932, 0.937, 19307, 20611, 55, 8.0
birdseye.git, 0.840, 0.840, 0.836, 0.840, 0.838, 0.995, 2738, 2751, 64, 4.8
vanta.git, 0.882, 0.882, 0.771, 0.882, 0.823, 0.874, 3892, 4454, 8, 5.1
enzyme.git, 0.952, 0.952, 0.876, 0.952, 0.912, 0.920, 3408, 3705, 20, 7.1
handlebars.js.git, 0.909, 0.909, 0.864, 0.909, 0.886, 0.951, 12863, 13528, 94, 9.7
vanilla-lazyload.git, 0.851, 0.851, 0.703, 0.851, 0.770, 0.827, 1097, 1327, 25, 5.7
0bin.git, 0.931, 0.931, 0.822, 0.931, 0.873, 0.883, 1835, 2079, 12, 5.6
ssbc.git, 0.937, 0.937, 0.518, 0.937, 0.667, 0.553, 463, 838, 5, 3.4
netflix.git, 0.931, 0.931, 0.696, 0.931, 0.797, 0.748, 2121, 2837, 13, 7.3
codeceptjs.git, 0.973, 0.973, 0.968, 0.973, 0.971, 0.994, 48781, 49065, 154, 10.4
react-keeper.git, 0.943, 0.943, 0.583, 0.943, 0.721, 0.619, 1250, 2021, 7, 4.0
