project_id,substore,url,is_fork,is_archived,is_disabled,stars,watchers,size,open_issues,buggy_issues,all_issues,issues,forks,subscribers,language,lifetime,has_issues,has_downloads,has_wiki,has_pages,created,updated,pushed,default_branch,license,homepage,description,heads,commits,authors,committers,users,paths,snapshots,unique_files,original_files,impact,files,major_language,major_language_ratio,major_language_changes,all_forks_count,max_commit_delta,avg_commit_delta,first_commit,last_commit,is_abandoned,locs,duplicated_code,is_valid,max_experience,project_experience,authors_contributing_95%_commits,authors_contributing_80%_commits,authors_contributing_50%_commits,authors_contributing_95%_changes,authors_contributing_80%_changes,authors_contributing_50%_changes
2,JavaScript,https://github.com/4geeksacademy/react-tutorial-exercises.git,false,false,false,206,206,19340,5,,,,160,9,JavaScript,151343941,true,true,true,true,1534579762,1629736397,1629246079,"master","Other","https://breatheco.de/interactive-exercise/react-exercises","Learn and practice React.js in this interactive tutorial with dozens of react exercises.",4,246,24,17,25,244,70,0,0,0,244,Other,0.8425,674,186,91421777,6389964,215946226,64602285,false,13870,19,true,11,6.121951219512195,12,5,2,8,5,2
6,SmallProjects,https://github.com/absolute-music/dblcore.js.git,false,false,false,1,1,12,0,,,,1,1,JavaScript,62876722,true,true,true,false,1571028235,1591238493,1571028237,"master","Apache License 2.0","","",1,1035,66,27,67,471,259,0,0,0,471,Other,0.9447911665866539,3936,183,2987276,1572950,66590029,3713307,true,477,19,true,11,6.58743961352657,24,7,2,13,4,2
10,JavaScript,https://github.com/adarkazanli96/irated.git,false,false,false,0,0,17963,12,,,,1,1,JavaScript,25547718,true,true,true,false,1586218890,1589180912,1628763545,"master","","","",15,804,48,25,49,416,229,0,0,0,416,Other,0.9416267942583733,2952,183,2976433,1978955,66590032,41042314,true,461,0,true,11,6.314676616915423,18,7,2,12,4,2
11,JavaScript,https://github.com/adityadalal4/coursera.github.io.git,false,false,false,0,0,10815,0,,,,0,0,JavaScript,24210811,true,true,true,true,1584890340,1586000662,1586000659,"master","","https://github.com/adityadalal4/coursera.git","Course 1.",1,699,45,23,46,265,189,0,0,0,265,Other,0.9390651085141903,2250,183,2976433,2274734,66590031,42379220,true,409,0,true,11,6.649499284692418,17,5,2,12,4,2
18,JavaScript,https://github.com/ajerni/gatsby.git,false,false,false,0,0,5639,18,,,,0,1,JavaScript,62876722,true,true,true,false,1566848512,1569141886,1628679288,"master","MIT License","","Gatsby Test",19,1035,66,27,67,471,259,0,0,0,471,Other,0.9447911665866539,3936,183,2987276,1572950,66590033,3713311,true,477,0,true,11,6.58743961352657,24,7,2,13,4,2
21,JavaScript,https://github.com/akshay23sept/akshay23sept.github.io.git,false,false,false,1,1,134217,0,,,,2,1,JavaScript,63181880,true,true,true,true,1566768242,1630123512,1630123509,"master","GNU General Public License v3.0","https://akshayanand.info/","An elegant and simple template for a personal website.",1,205,18,12,19,56812,245,0,0,0,56812,Other,0.9973974998933401,140268,0,10453096,7697285,123079153,59897273,true,1558,44,true,6,2.9365853658536585,10,6,3,7,5,3
22,JavaScript,https://github.com/alephdata/aleph.git,false,false,false,1505,1505,60731,41,,,,215,61,JavaScript,40334940,true,true,false,false,1409170911,1630101897,1630066564,"main","MIT License","http://docs.alephdata.org","Search and browse documents and data; find the people and companies you look for.",22,63,7,7,7,136,42,0,15,63,136,Other,0.6245059288537549,158,4,8644442,35476395,215946430,175611490,true,0,0,true,9,5.761904761904762,4,2,2,2,2,1
23,JavaScript,https://github.com/alexeykorkoza/credit-site-server.git,false,false,false,0,0,2178,6,,,,2,2,JavaScript,50783823,true,true,true,false,1529829860,1595362788,1628679069,"master","MIT License","","Server part",7,542,43,28,44,1926,926,0,0,0,1926,Other,0.7128890662410216,3573,185,17424586,2980096,68695156,17911333,true,926,60,true,11,5.6512915129151295,20,7,3,8,4,1
24,JavaScript,https://github.com/alexfoxy/lax.js.git,false,false,false,8121,8121,4889,7,,,,416,94,JavaScript,25635131,true,true,true,true,1552382463,1630050587,1628634772,"dev","MIT License","","Simple & lightweight (<4kb gzipped) vanilla JavaScript library to create smooth & beautiful animations when you scroll.",6,850,48,25,49,444,230,0,0,0,444,Other,0.9433962264150944,3100,183,2976433,1871836,66590033,40954902,true,447,0,true,11,6.530588235294117,18,6,2,12,4,2
37,JavaScript,https://github.com/anandsimmy/crown-clothing.git,false,false,false,0,0,54880,1,,,,0,1,JavaScript,52878127,true,true,true,false,1588737481,1598693010,1598693008,"master","","","ecommerce platform made using react",2,30,7,8,8,83,54,0,0,0,83,Other,0.441340782122905,79,0,13740963,52395539,215946759,163068632,true,15289,2,true,9,5.551724137931035,5,2,2,2,2,1
69,SmallProjects,https://github.com/ashikka/drumkit.git,false,false,false,0,0,360,0,,,,0,1,JavaScript,62876096,true,true,true,false,1585901989,1585902251,1585902248,"master","","","",1,1033,66,27,67,471,259,0,0,0,471,Other,0.9447646493756003,3934,183,2987276,1575998,66590039,3713943,true,477,0,true,11,6.58567279767667,24,7,2,13,4,2
133,SmallProjects,https://github.com/chenyangliuuu/wow2.git,false,false,false,0,0,39297,2,,,,0,1,Python,52191439,true,true,true,false,1587198506,1587202999,1587202997,"master","","","ie",3,993,63,26,64,465,253,0,0,0,465,Other,0.9465226554267651,3593,183,2987276,1628775,66590042,14398603,true,468,0,true,11,6.620342396777442,23,7,2,12,5,2
235,Go,https://github.com/evergreen-ci/evergreen.git,false,false,false,327,327,155024,10,,,,101,20,Go,62876722,false,true,true,false,1432749789,1630117280,1630117276,"main","Other","https://evergreen.mongodb.com/waterfall/evergreen","A Distributed Continuous Integration System from MongoDB",21,1055,66,27,67,471,259,0,0,0,471,Other,0.9447911665866539,3936,183,2987276,1572950,66593502,3716780,true,0,0,true,11,6.58743961352657,24,7,2,13,4,2
261,SmallProjects,https://github.com/francososa/glitchell.git,false,false,false,0,0,134,0,,,,0,1,Haskell,62876077,true,true,true,false,1536527978,1536534129,1536534128,"master","Other","","Picture glitcher in Haskell",1,1031,66,27,67,471,259,0,0,0,471,Other,0.944967414916727,3915,183,2987276,1579058,66590040,3713963,true,477,0,true,11,6.583899127061105,24,7,2,13,4,2
